Date,Open,High,Low,Close,Adj Close,Volume
2015-01-13,28.272699,28.752100,28.008301,33.890045,25.028465,16784878
2015-01-14,27.768600,28.619801,27.685900,34.120068,25.198339,14746028
2015-01-15,28.264500,29.057800,27.942200,33.819984,24.976725,15689949
2015-01-16,28.024799,28.528900,27.768600,34.340042,25.360798,16785362
2015-01-19,28.190100,28.537201,27.231400,33.100037,24.445032,10037676
2015-01-20,27.809900,27.909100,27.239700,33.210026,24.526260,10983049
2015-01-21,27.851200,28.454500,27.413200,34.190002,25.249996,17448079
2015-01-22,28.586800,28.925600,28.239700,34.360008,25.375547,14859163
2015-01-23,28.586800,28.925600,27.859501,34.030041,25.131859,13487265
2015-01-26,27.991699,28.512400,27.776899,34.429947,25.427198,11789514
2015-01-27,28.347099,28.570200,27.735500,34.299992,25.331226,15145328
2015-01-28,28.016500,28.611601,27.760300,33.600010,24.814268,13723699
2015-01-29,28.016500,28.132200,27.115700,33.369987,24.644398,14572393
2015-01-30,27.041300,27.338800,26.834700,32.900024,24.297316,21634437
2015-02-02,27.454500,27.586800,26.983500,33.320015,24.621071,14015188
2015-02-03,28.504101,28.652901,28.165300,34.250019,25.308279,21786776
2015-02-04,28.281000,29.520700,28.099199,35.509995,26.239305,29101710
2015-02-05,29.214899,29.570200,28.925600,35.210033,26.017658,22789987
2015-02-06,28.925600,29.181801,28.594999,35.130054,25.958561,20488930
2015-02-09,28.768600,29.305799,28.768600,35.350029,26.121103,14936603
2015-02-10,29.256201,29.462799,28.843000,34.900032,25.788591,13989536
2015-02-11,28.371901,28.512400,27.363600,33.479977,25.485287,14710091
2015-02-12,27.966900,28.537201,27.851200,34.360008,26.155172,13949485
2015-02-13,28.578501,29.355400,28.471100,35.499950,27.022909,14928859
2015-02-18,29.925600,30.041300,29.347099,35.710007,27.182804,13952994
2015-02-19,29.396700,29.809900,29.214899,35.699963,27.175161,9416825
2015-02-20,29.752100,29.768600,29.148800,35.890053,27.319855,7352081
2015-02-23,29.206600,30.157000,29.206600,36.239983,27.586231,11354519
2015-02-24,30.148800,30.264500,29.586800,36.620049,27.875534,11712558
2015-02-25,29.875999,30.338800,29.710699,36.709949,27.943970,10125401
2015-02-26,30.371901,30.487600,29.900801,36.889999,28.081024,9103435
2015-02-27,30.495899,31.049601,29.975201,36.500015,27.784164,21979650
2015-03-02,30.082600,30.355400,29.760300,36.319965,27.660872,14047495
2015-03-03,29.991699,30.247900,29.743799,36.599960,27.874109,9736749
2015-03-04,29.859501,30.115700,29.694201,36.280037,27.630463,19363751
2015-03-05,29.933901,30.165300,29.438000,35.959991,27.386717,12757151
2015-03-06,29.520700,29.884300,28.644600,34.999977,26.655575,21405747
2015-03-09,28.264500,28.694201,27.652901,34.089935,25.962500,23906091
2015-03-10,27.727301,28.140499,27.066099,32.749981,24.942009,35940630
2015-03-11,27.297501,28.024799,27.272699,33.860035,25.787415,30397257
2015-03-12,28.264500,28.421499,27.925600,34.000034,25.894032,18856761
2015-03-13,27.454500,28.016500,27.380199,33.830029,25.764561,22647449
2015-03-16,28.140499,28.322300,27.619801,33.830029,25.764561,13135034
2015-03-17,28.090900,28.760300,27.900801,34.799965,26.503252,21362308
2015-03-18,28.628099,29.752100,28.388399,35.850002,27.302946,20364784
2015-03-19,29.545500,29.611601,28.991699,35.630024,27.135414,12117787
2015-03-20,29.752100,30.132200,29.628099,35.929981,27.363861,18743142
2015-03-23,29.661200,29.834700,29.057800,35.699963,27.188686,11910998
2015-03-24,29.504101,29.826500,29.000000,35.479984,27.021149,13857041
2015-03-25,29.504101,29.975201,28.966900,35.449978,26.998295,18938194
2015-03-26,28.991699,29.148800,28.363600,34.450031,26.236748,15191429
2015-03-27,28.487600,28.487600,27.768600,33.849995,25.779768,17346923
2015-03-30,28.099199,28.917400,28.041300,34.990055,26.648026,13903142
2015-03-31,28.636400,29.413200,28.495899,35.309982,26.891676,15974178
2015-04-01,29.586800,30.371901,29.487600,36.500015,27.812284,18274146
2015-04-02,30.124001,30.867800,30.124001,36.849945,28.078930,14985003
2015-04-06,30.884300,30.966900,30.462799,37.300064,28.421911,11522225
2015-04-07,30.661200,30.991699,30.504101,37.320030,28.437126,13381753
2015-04-08,31.115700,31.371901,30.892599,37.499958,28.574228,16088886
2015-04-09,30.330601,30.528900,29.917400,36.750004,28.002773,24278045
2015-04-10,30.165300,30.743799,30.000000,37.019951,28.208466,11493306
2015-04-13,30.495899,30.801600,30.173500,36.730038,27.987558,11779592
2015-04-14,30.512400,30.603300,29.925600,36.730038,27.987558,11494395
2015-04-15,30.636400,30.851200,30.256201,37.260017,28.391394,12014211
